distribution,x_axis_mode,x_axis_value,mu,case,entity_id,num_nulls
Uniform,relative,2,0.44,Worst,"I4_(81, 59589)",1
Uniform,relative,2,0.46,Average,"I4_(81, 59589)",1
Uniform,relative,3,0.68,Worst,"I4_(81, 59589)",1
Uniform,relative,3,0.68,Average,"I4_(81, 59589)",1
Uniform,relative,4,0.74,Worst,"I4_(81, 59589)",1
Uniform,relative,4,0.7466666666666667,Average,"I4_(81, 59589)",1
Uniform,relative,5,0.8266666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,5,0.8,Average,"I4_(81, 59589)",1
Uniform,relative,6,0.88,Worst,"I4_(81, 59589)",1
Uniform,relative,6,0.8533333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,7,0.86,Worst,"I4_(81, 59589)",1
Uniform,relative,7,0.88,Average,"I4_(81, 59589)",1
Uniform,relative,8,0.8666666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,8,0.8733333333333333,Average,"I4_(81, 59589)",1
Uniform,relative,9,0.8666666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,9,0.88,Average,"I4_(81, 59589)",1
Uniform,relative,10,0.8866666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,10,0.88,Average,"I4_(81, 59589)",1
Uniform,relative,11,0.8733333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,11,0.8933333333333333,Average,"I4_(81, 59589)",1
Uniform,relative,12,0.9266666666666666,Worst,"I4_(81, 59589)",1
Uniform,relative,12,0.9266666666666666,Average,"I4_(81, 59589)",1
Uniform,relative,13,0.94,Worst,"I4_(81, 59589)",1
Uniform,relative,13,0.9333333333333333,Average,"I4_(81, 59589)",1
Uniform,relative,14,0.9533333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,14,0.9266666666666666,Average,"I4_(81, 59589)",1
Uniform,relative,15,0.9266666666666666,Worst,"I4_(81, 59589)",1
Uniform,relative,15,0.9466666666666667,Average,"I4_(81, 59589)",1
Uniform,relative,16,0.9733333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,16,0.96,Average,"I4_(81, 59589)",1
Uniform,relative,17,0.8933333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,17,0.94,Average,"I4_(81, 59589)",1
Uniform,relative,18,0.9133333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,18,0.9733333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,19,0.9333333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,19,0.9533333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,20,0.9333333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,20,0.94,Average,"I4_(81, 59589)",1
Uniform,relative,21,0.9466666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,21,0.9066666666666666,Average,"I4_(81, 59589)",1
Uniform,relative,22,0.9333333333333333,Worst,"I4_(81, 59589)",1
Uniform,relative,22,0.9533333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,23,0.9533333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,23,0.94,Average,"I4_(81, 59589)",1
Uniform,relative,24,0.9733333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,24,0.94,Average,"I4_(81, 59589)",1
Uniform,relative,25,0.9466666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,25,0.9733333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,26,0.98,Worst,"I4_(81, 59589)",1
Uniform,relative,26,0.9933333333333333,Average,"I4_(81, 59589)",1
Uniform,relative,27,0.9733333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,27,0.9466666666666667,Average,"I4_(81, 59589)",1
Uniform,relative,28,0.9866666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,28,0.9466666666666667,Average,"I4_(81, 59589)",1
Uniform,relative,29,0.9733333333333334,Worst,"I4_(81, 59589)",1
Uniform,relative,29,0.9866666666666667,Average,"I4_(81, 59589)",1
Uniform,relative,30,0.9666666666666667,Worst,"I4_(81, 59589)",1
Uniform,relative,30,0.9733333333333334,Average,"I4_(81, 59589)",1
Uniform,relative,1,0.0,Worst,"I1_(81, 9575)",1
Uniform,relative,1,0.0,Average,"I1_(81, 9575)",1
Uniform,relative,2,0.48,Worst,"I1_(81, 9575)",1
Uniform,relative,2,0.5266666666666666,Average,"I1_(81, 9575)",1
Uniform,relative,3,0.7,Worst,"I1_(81, 9575)",1
Uniform,relative,3,0.6733333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,4,0.7733333333333333,Worst,"I1_(81, 9575)",1
Uniform,relative,4,0.72,Average,"I1_(81, 9575)",1
Uniform,relative,5,0.8066666666666666,Worst,"I1_(81, 9575)",1
Uniform,relative,5,0.7933333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,6,0.7866666666666666,Worst,"I1_(81, 9575)",1
Uniform,relative,6,0.86,Average,"I1_(81, 9575)",1
Uniform,relative,7,0.84,Worst,"I1_(81, 9575)",1
Uniform,relative,7,0.8733333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,8,0.9133333333333333,Worst,"I1_(81, 9575)",1
Uniform,relative,8,0.8733333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,9,0.86,Worst,"I1_(81, 9575)",1
Uniform,relative,9,0.8866666666666667,Average,"I1_(81, 9575)",1
Uniform,relative,10,0.8666666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,10,0.9133333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,11,0.9,Worst,"I1_(81, 9575)",1
Uniform,relative,11,0.9333333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,12,0.9,Worst,"I1_(81, 9575)",1
Uniform,relative,12,0.9533333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,13,0.8866666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,13,0.8733333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,14,0.9066666666666666,Worst,"I1_(81, 9575)",1
Uniform,relative,14,0.96,Average,"I1_(81, 9575)",1
Uniform,relative,15,0.8866666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,15,0.9533333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,16,0.9133333333333333,Worst,"I1_(81, 9575)",1
Uniform,relative,16,0.9466666666666667,Average,"I1_(81, 9575)",1
Uniform,relative,17,0.9733333333333334,Worst,"I1_(81, 9575)",1
Uniform,relative,17,0.9266666666666666,Average,"I1_(81, 9575)",1
Uniform,relative,18,0.9266666666666666,Worst,"I1_(81, 9575)",1
Uniform,relative,18,0.94,Average,"I1_(81, 9575)",1
Uniform,relative,19,0.9733333333333334,Worst,"I1_(81, 9575)",1
Uniform,relative,19,0.9533333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,20,0.9533333333333334,Worst,"I1_(81, 9575)",1
Uniform,relative,20,0.9333333333333333,Average,"I1_(81, 9575)",1
Uniform,relative,21,0.9666666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,21,0.94,Average,"I1_(81, 9575)",1
Uniform,relative,22,0.96,Worst,"I1_(81, 9575)",1
Uniform,relative,22,0.9266666666666666,Average,"I1_(81, 9575)",1
Uniform,relative,23,0.9466666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,23,0.9533333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,24,0.98,Worst,"I1_(81, 9575)",1
Uniform,relative,24,0.9733333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,25,0.9666666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,25,0.9533333333333334,Average,"I1_(81, 9575)",1
Uniform,relative,26,0.96,Worst,"I1_(81, 9575)",1
Uniform,relative,26,0.98,Average,"I1_(81, 9575)",1
Uniform,relative,27,0.9866666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,27,0.92,Average,"I1_(81, 9575)",1
Uniform,relative,28,0.9666666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,28,0.9666666666666667,Average,"I1_(81, 9575)",1
Uniform,relative,29,0.96,Worst,"I1_(81, 9575)",1
Uniform,relative,29,0.96,Average,"I1_(81, 9575)",1
Uniform,relative,30,0.9666666666666667,Worst,"I1_(81, 9575)",1
Uniform,relative,30,0.9666666666666667,Average,"I1_(81, 9575)",1
Uniform,relative,1,0.0,Worst,"I2_(54, 51041)",1
Uniform,relative,1,0.0,Average,"I2_(54, 51041)",1
Uniform,relative,2,0.56,Worst,"I2_(54, 51041)",1
Uniform,relative,2,0.5733333333333334,Average,"I2_(54, 51041)",1
Uniform,relative,3,0.6466666666666666,Worst,"I2_(54, 51041)",1
Uniform,relative,3,0.72,Average,"I2_(54, 51041)",1
Uniform,relative,4,0.7733333333333333,Worst,"I2_(54, 51041)",1
Uniform,relative,4,0.76,Average,"I2_(54, 51041)",1
Uniform,relative,5,0.8333333333333334,Worst,"I2_(54, 51041)",1
Uniform,relative,5,0.8,Average,"I2_(54, 51041)",1
Uniform,relative,6,0.8533333333333334,Worst,"I2_(54, 51041)",1
Uniform,relative,6,0.82,Average,"I2_(54, 51041)",1
Uniform,relative,7,0.84,Worst,"I2_(54, 51041)",1
Uniform,relative,7,0.84,Average,"I2_(54, 51041)",1
Uniform,relative,8,0.8666666666666667,Worst,"I2_(54, 51041)",1
Uniform,relative,8,0.86,Average,"I2_(54, 51041)",1
Uniform,relative,9,0.9,Worst,"I2_(54, 51041)",1
Uniform,relative,9,0.8866666666666667,Average,"I2_(54, 51041)",1
Uniform,relative,10,0.94,Worst,"I2_(54, 51041)",1
Uniform,relative,10,0.9133333333333333,Average,"I2_(54, 51041)",1
Uniform,relative,11,0.9066666666666666,Worst,"I2_(54, 51041)",1
Uniform,relative,11,0.9333333333333333,Average,"I2_(54, 51041)",1
Uniform,relative,12,0.9466666666666667,Worst,"I2_(54, 51041)",1
Uniform,relative,12,0.94,Average,"I2_(54, 51041)",1
Uniform,relative,13,0.9066666666666666,Worst,"I2_(54, 51041)",1
Uniform,relative,13,0.9666666666666667,Average,"I2_(54, 51041)",1
Uniform,relative,14,0.9,Worst,"I2_(54, 51041)",1
Uniform,relative,14,0.8866666666666667,Average,"I2_(54, 51041)",1
Uniform,relative,15,0.9533333333333334,Worst,"I2_(54, 51041)",1
Uniform,relative,15,0.92,Average,"I2_(54, 51041)",1
Uniform,relative,16,0.92,Worst,"I2_(54, 51041)",1
Uniform,relative,16,0.9333333333333333,Average,"I2_(54, 51041)",1
Uniform,relative,17,0.94,Worst,"I2_(54, 51041)",1
Uniform,relative,17,0.94,Average,"I2_(54, 51041)",1
Uniform,relative,18,0.9733333333333334,Worst,"I2_(54, 51041)",1
Uniform,relative,18,0.9733333333333334,Average,"I2_(54, 51041)",1
Uniform,relative,19,0.94,Worst,"I2_(54, 51041)",1
Uniform,relative,19,0.9533333333333334,Average,"I2_(54, 51041)",1
Uniform,relative,20,0.94,Worst,"I2_(54, 51041)",1
Uniform,relative,20,0.9533333333333334,Average,"I2_(54, 51041)",1
Uniform,relative,21,0.9333333333333333,Worst,"I2_(54, 51041)",1
